Well,N_Peaks,MF,Status,Scans,Norm_Areas
G01,4,0.4840,het (4 peaks),2163;2249;2454;2533,2.59;2.28;2.46;2.47
G02,1,0.0000,homozygous (1 peak),2255,8.91
G03,0,0.0000,no peaks,,
G04,1,0.0000,homozygous (1 peak),2600,21.54
G05,2,0.4642,het-like (2 peaks),2334;2349,9.76;11.27
G06,4,0.4689,het (4 peaks),2347;2438;2608;2688,4.18;8.21;5.00;5.33
G07,1,0.0000,homozygous (1 peak),2524,9.59
G08,1,0.0000,homozygous (1 peak),2392,11.49
G09,3,0.4890,low MF (3 peaks),2506;2697;2763,6.01;2.38;2.55
G10,3,0.6524,low MF (3 peaks),2487;2684;2753,4.01;3.64;3.47
G11,3,0.6629,low MF (3 peaks),2312;2514;2613,2.97;2.77;2.45
G12,4,0.4045,het (4 peaks),2197;2270;2472;2596,3.28;3.73;5.53;4.04
H01,1,0.0000,homozygous (1 peak),2245,5.18
H02,1,0.0000,homozygous (1 peak),2237,5.65
H03,2,0.4437,het-like (2 peaks),2542;2565,7.79;6.21
H04,3,0.6484,low MF (3 peaks),2554;2762;2842,2.99;2.53;2.58
H05,1,0.0000,homozygous (1 peak),2377,10.42
H06,1,0.0000,homozygous (1 peak),2444,34.38
H07,0,0.0000,no peaks,,
H08,0,0.0000,no peaks,,
H09,1,0.0000,homozygous (1 peak),2511,7.74
H10,1,0.0000,homozygous (1 peak),2433,10.59
H11,3,0.5329,low MF (3 peaks),2395;2612;2724,3.39;1.96;1.88
H12,3,0.4966,low MF (3 peaks),2276;2481;2608,3.93;2.44;1.65
